Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-2359.705	-2429.838	70.13317	0.101453	0.0605419	0.0197659	0.0286422	0.0548374	0.0847182	0.057085	0.00942442	0.0532876	0.038173	0.0484725	0.104984	0.0198392	0.00997819	0.00591145	0.0160927	0.0163372	0.0740186	0.0312983	0.0240411	0.0285992	0.0190484	0.0270313	0.0142075	0.0171215	0.00484093	0.00350948	0.000575074	0.0070914	0.0230537	0.0267258	0.016662	0.017671	0.0258276	0.0115605	0.0150207	0.0178886	0.0145164	0.0549232	0.0360444	0.141759	0.0102907	0.00763038	0.158361	0.0157713	0.00637566	0.0016214	0.0194489	0.0633809	0.0308552	0.00510479	0.7114279	1.288572	0.132064	0.372567	0.734893	1.36074	2.68408	7.57207	1.463828	1.811248	0.0596284	0.0355832	0.0116173	0.0168343	0.0322304	0.0497927	0.0335514	0.00553915	0.0313195	0.022436	0.0284894	0.0617035	0.0116604	0.00586463	0.00347442	0.0094584	0.00960212	0.043504	0.0183954	0.01413	0.016809	0.0111956	0.0158875	0.00835036	0.0100631	0.00284523	0.00206268	0.000337997	0.00416793	0.0135497	0.015708	0.009793	0.010386	0.0151801	0.00679463	0.00882833	0.0105139	0.00853196	0.0322808	0.0211849	0.0833182	0.00604833	0.00448472	0.0930758	0.00926947	0.00374726	0.000952968	0.011431	0.0372518	0.018135	0.00300031	0.644286	0.355714	1.70142
36	-2367.361	-2437.566	70.20521	0.108545	0.0739486	0.0306717	0.0576926	0.0814748	0.0840768	0.0645443	0.00926349	0.0574407	0.0244539	0.0755365	0.0840067	0.0133966	0.0446155	0.00678874	0.059208	0.00796744	0.0513211	0.0242301	0.0437236	0.0231407	0.0200528	0.019556	0.00989426	0.0192131	0.00332605	0.0013523	0.00207982	0.00397898	0.0198976	0.00989973	0.0176368	0.00785273	0.0255953	0.0359362	0.0212881	0.0236226	0.0260248	0.0359591	0.0331424	0.180855	0.0114312	0.0126458	0.15544	0.0195107	0.00643805	0.0116963	0.0133899	0.0243793	0.0209384	0.0059819	0.8503722	1.149628	0.118877	0.353935	0.723223	1.3827	2.82538	8.41204	1.539894	1.351911	0.0594747	0.0405184	0.0168059	0.0316113	0.0446422	0.0460679	0.0353655	0.00507572	0.0314733	0.013399	0.0413885	0.0460295	0.00734036	0.024446	0.00371973	0.0324417	0.00436557	0.0281202	0.0132763	0.0239573	0.0126794	0.0109875	0.0107153	0.00542133	0.0105274	0.00182243	0.000740963	0.00113959	0.00218019	0.0109024	0.00542433	0.00966366	0.00430272	0.0140244	0.0196904	0.0116643	0.0129435	0.0142597	0.0197029	0.0181596	0.0990951	0.00626347	0.00692895	0.0851696	0.0106905	0.00352758	0.00640872	0.00733666	0.0133581	0.0114727	0.00327765	0.574814	0.425186	1.825062
72	-2369.731	-2439.403	69.67199	0.147563	0.150708	0.0681336	0.0585992	0.0642074	0.149231	0.0444513	0.0130992	0.0904578	0.0367985	0.0861114	0.0998295	0.0116535	0.0418881	0.00176076	0.0356032	0.0278501	0.0888371	0.0573762	0.0146724	0.0101606	0.0267381	0.022301	0.00726932	0.0340824	0.012028	0.0312773	0.00871961	0.000630689	0.0408205	0.0192427	0.0227124	0.0286771	0.0670691	0.018443	0.0239516	0.0263391	0.0978491	0.0640212	0.0190525	0.262439	0.024271	0.0179015	0.185416	0.0309403	0.0127	0.0119084	0.00189451	0.0702329	0.0369058	0.0137793	0.9808585	1.019141	0.1774	0.430243	0.768644	1.30099	2.32427	5.63696	1.250436	1.03903	0.0581275	0.0593664	0.026839	0.0230832	0.0252924	0.0587847	0.0175101	0.00516002	0.0356329	0.0144956	0.0339208	0.0393245	0.0045905	0.0165004	0.000693595	0.0140247	0.0109706	0.0349945	0.0226014	0.00577972	0.00400244	0.0105326	0.00878473	0.00286351	0.0134256	0.00473803	0.0123206	0.0034348	0.000248439	0.0160799	0.00758002	0.0089468	0.0112964	0.0264196	0.00726499	0.00943496	0.0103754	0.0385444	0.025219	0.0075051	0.103379	0.00956074	0.00705171	0.0730387	0.0121879	0.00500276	0.00469094	0.000746279	0.0276659	0.0145378	0.00542789	0.509571	0.490429	2.538605
108	-2379.133	-2448.583	69.44997	0.101864	0.0631822	0.0250335	0.0420361	0.0880237	0.181031	0.061753	0.0262296	0.0777504	0.0542583	0.0844101	0.177907	0.030007	0.0247897	0.00496859	0.0119527	0.012868	0.0339215	0.0360617	0.0300735	0.0388589	0.0512693	0.0057377	0.0114067	0.0308668	0.00483055	0.00813673	0.0029485	0.0173828	0.0371832	0.0552402	0.0347409	0.0234087	0.0337726	0.0255129	0.0179624	0.0114308	0.0860555	0.0578676	0.0539669	0.210276	0.0540102	0.017937	0.183194	0.0164963	0.0140084	0.00408234	0.0516499	0.094282	0.0791897	0.0136645	0.8485755	1.151425	0.182192	0.435871	0.771767	1.29573	2.29425	5.48871	1.231165	1.356891	0.0404948	0.0251172	0.00995172	0.0167109	0.0349926	0.0719663	0.0245491	0.0104272	0.0309086	0.0215697	0.0335561	0.0707247	0.0119289	0.00985479	0.00197519	0.00475165	0.00511549	0.013485	0.0143358	0.0119553	0.0154478	0.0203814	0.00228095	0.00453458	0.0122707	0.00192032	0.00323465	0.00117214	0.00691031	0.0147817	0.02196	0.0138108	0.00930582	0.0134258	0.0101423	0.00714072	0.00454416	0.0342102	0.0230045	0.0214538	0.0835924	0.021471	0.00713062	0.0728265	0.00655788	0.00556884	0.00162288	0.0205327	0.0374805	0.0314808	0.00543215	0.575712	0.424288	2.515493
144	-2368.522	-2438.598	70.07609	0.120709	0.0557687	0.0175106	0.0331546	0.093736	0.0925545	0.0569318	0.0141737	0.0605301	0.0405538	0.0801492	0.0520734	0.036364	0.00868973	0.0043013	0.0138668	0.0158488	0.0519214	0.0298494	0.0240223	0.0319799	0.0240512	0.00463746	0.0139686	0.0180059	0.00580932	0.000474846	0.00324529	0.00893685	0.0277331	0.0301888	0.0187668	0.0127489	0.0538435	0.0211958	0.0146284	0.00629245	0.0658353	0.0759447	0.0162752	0.283789	0.0520071	0.00689322	0.129565	0.0272486	0.00141067	0.00745827	0.0225067	0.0513483	0.01359	0.0079248	0.8393046	1.160695	0.135642	0.377456	0.737887	1.35522	2.64931	7.37235	1.444501	1.382925	0.0615543	0.0284387	0.00892939	0.0169069	0.0477998	0.0471973	0.0290318	0.00722776	0.0308667	0.02068	0.0408714	0.0265543	0.0185435	0.00443125	0.00219341	0.00707125	0.00808194	0.0264768	0.0152214	0.01225	0.0163079	0.0122647	0.00236483	0.00712316	0.00918193	0.00296241	0.000242143	0.0016549	0.00455726	0.0141422	0.0153945	0.00956998	0.00650121	0.027457	0.0108086	0.00745963	0.00320878	0.0335721	0.0387273	0.00829936	0.144715	0.0265205	0.00351514	0.0660703	0.0138952	0.00071936	0.00380328	0.0114771	0.0261846	0.0069301	0.00404118	0.580348	0.419652	1.961012
180	-2373.778	-2444.735	70.95701	0.0537327	0.0514918	0.0111737	0.0248766	0.0670365	0.0761635	0.0152842	0.0263314	0.0242306	0.0182389	0.0263891	0.0330416	0.0100962	0.0111766	0.00233738	0.00883961	0.00975057	0.0298557	0.0146604	0.0180115	0.0115027	0.0117553	0.0082938	0.00450535	0.0137421	0.00127157	0.00534047	0.00324059	0.00330853	0.00352669	0.00826235	0.0147366	0.00633356	0.0288531	0.0103308	0.00670755	0.00736755	0.00930272	0.0573538	0.00293789	0.101496	0.00170923	0.0052329	0.0939319	0.0121703	0.00186851	0.0085101	0.0110511	0.0508975	0.0109605	0.00885421	0.9285458	1.071454	0.0679733	0.269481	0.664256	1.50544	3.71084	14.7117	1.944072	1.153906	0.0507835	0.0486656	0.0105604	0.0235112	0.0633572	0.0719832	0.0144453	0.0248861	0.0229007	0.0172379	0.0249407	0.0312281	0.00954204	0.0105631	0.00220909	0.00835444	0.0092154	0.028217	0.0138557	0.017023	0.0108713	0.0111101	0.00783858	0.00425807	0.0129878	0.00120178	0.00504735	0.00306272	0.00312693	0.00333312	0.00780886	0.0139278	0.00598593	0.0272695	0.00976376	0.0063394	0.00696317	0.00879213	0.0542058	0.00277664	0.0959253	0.00161542	0.00494569	0.0887763	0.0115023	0.00176595	0.00804301	0.0104445	0.0481039	0.010359	0.00836823	0.535727	0.464273	1.058074
216	-2389.278	-2459.912	70.63426	0.107548	0.1148	0.0398285	0.0454518	0.0337189	0.0776448	0.0564973	0.0508222	0.0355139	0.0362582	0.0740505	0.124717	0.0189414	0.0613024	0.00483516	0.0174614	0.0171968	0.0691221	0.0214869	0.00968797	0.0212854	0.0106145	0.00809148	0.0198889	0.0168265	0.00514583	0.00401302	0.0060889	0.00863866	0.0190963	0.00173278	0.031691	0.00887419	0.0426802	0.064537	0.066205	0.0104057	0.0381473	0.04338	0.0117538	0.12433	0.0215711	0.0141886	0.127564	0.0238306	0.00156559	0.00560938	0.0462816	0.0457778	0.00741932	0.00592766	0.9670714	1.032929	0.170998	0.422598	0.764357	1.30829	2.36631	5.84802	1.277014	1.0681	0.0572051	0.0610622	0.0211848	0.0241759	0.0179351	0.0412994	0.030051	0.0270324	0.0188899	0.0192858	0.0393876	0.0663369	0.010075	0.0326068	0.00257183	0.00928775	0.00914699	0.0367662	0.0114289	0.00515304	0.0113217	0.00564586	0.00430387	0.010579	0.00895002	0.00273707	0.00213453	0.0032387	0.00459492	0.0101574	0.000921666	0.0168565	0.0047202	0.0227017	0.0343273	0.0352145	0.00553482	0.0202906	0.0230739	0.00625188	0.0661314	0.0114737	0.00754692	0.0678516	0.0126755	0.00083274	0.00298364	0.0246173	0.0243493	0.00394635	0.00315293	0.516464	0.483536	1.880047
252	-2369.02	-2437.977	68.957	0.166531	0.129428	0.0664318	0.0740065	0.0756021	0.131717	0.0536679	0.0285718	0.101122	0.0722831	0.121737	0.197379	0.0350353	0.0224614	0.00225096	0.0586397	0.0119304	0.0974328	0.05943	0.0408116	0.0891857	0.0255081	0.0345875	0.00903144	0.0131495	0.00520012	0.00497523	0.00513916	0.029998	0.0162278	0.0395665	0.0532042	0.0258525	0.0209088	0.0160643	0.069403	0.0574595	0.0656373	0.0269777	0.00859877	0.011432	0.00441983	0.00883692	0.0494841	0.00507078	0.289159	0.0190394	0.0285396	0.0612099	0.370006	0.0393597	1.016374	0.9836257	0.190809	0.445806	0.777213	1.28665	2.24313	5.24085	1.197752	0.967779	0.0546056	0.0424396	0.021783	0.0242668	0.02479	0.0431901	0.0175977	0.00936872	0.0331581	0.0237017	0.0399176	0.0647208	0.0114881	0.00736513	0.000738091	0.019228	0.00391198	0.0319483	0.0194871	0.0133822	0.0292441	0.00836412	0.0113413	0.00296142	0.00431174	0.00170512	0.00163138	0.00168513	0.00983637	0.00532111	0.0129739	0.0174457	0.00847706	0.00685603	0.0052675	0.0227573	0.018841	0.0215225	0.00884602	0.00281954	0.00374855	0.00144927	0.00289763	0.0162259	0.00166271	0.0948156	0.00624304	0.00935816	0.0200708	0.121325	0.0129061	0.491813	0.508187	3.049701
288	-2367.688	-2438.289	70.60167	0.127457	0.0907265	0.040252	0.0558258	0.0485251	0.0791391	0.0505652	0.0268249	0.103655	0.0119842	0.0617172	0.157055	0.026461	0.0195689	0.00215339	0.0266654	0.0243649	0.0453337	0.0430127	0.0195805	0.0308003	0.0269784	0.00823524	0.00816324	0.0341332	0.00851948	0.0020371	0.00436895	0.0231239	0.0276381	0.0342936	0.0325849	0.00899247	0.0167974	0.0146776	0.0440719	0.0450816	0.0367989	0.026406	0.00817161	0.0195637	0.0485502	0.0217532	0.0262278	0.0031836	0.166994	0.0038685	0.015855	0.048578	0.157664	0.0376344	1.093158	0.9068424	0.165372	0.415759	0.760476	1.31497	2.40524	6.04699	1.301206	0.8295623	0.0620948	0.0442005	0.0196101	0.0271975	0.0236407	0.0385553	0.0246345	0.0130687	0.0504991	0.0058385	0.0300676	0.0765148	0.0128914	0.00953365	0.0010491	0.012991	0.0118702	0.0220858	0.0209551	0.00953929	0.0150054	0.0131434	0.00401208	0.003977	0.0166291	0.00415055	0.000992444	0.00212848	0.0112656	0.0134649	0.0167073	0.0158748	0.00438099	0.00818342	0.00715067	0.0214711	0.021963	0.0179279	0.0128646	0.00398108	0.00953113	0.0236529	0.0105978	0.0127777	0.001551	0.0813566	0.00188467	0.00772431	0.0236664	0.0768112	0.0183349	0.453421	0.546579	2.052613
324	-2369.215	-2439.767	70.55226	0.103475	0.0788738	0.0245025	0.0467281	0.0440176	0.077779	0.0310368	0.0249935	0.0579491	0.0230933	0.0483935	0.0759739	0.0145491	0.0213991	0.00361234	0.0184988	0.00454928	0.0534232	0.0325623	0.0242685	0.01554	0.0253314	0.00604223	0.0146142	0.0249114	0.000786405	0.00436275	0.00709126	0.0097644	0.00663997	0.0317358	0.01443	0.00722536	0.00307096	0.00933153	0.0441435	0.0204424	0.0449631	0.011165	0.0167038	0.0123622	0.015406	0.0195217	0.00350518	0.0034524	0.12594	0.0142913	0.0288956	0.0400236	0.143752	0.0199069	0.8675877	1.132412	0.107832	0.337495	0.712571	1.40337	2.963	9.27372	1.610408	1.305242	0.0665418	0.0507217	0.0157569	0.0300496	0.0283066	0.0500177	0.0199589	0.0160727	0.0372656	0.0148507	0.0311206	0.0488568	0.00935617	0.0137612	0.002323	0.0118961	0.00292553	0.0343551	0.02094	0.0156064	0.0099934	0.01629	0.0038856	0.00939805	0.0160199	0.000505717	0.00280557	0.00456021	0.00627924	0.00426999	0.0204085	0.00927957	0.00464644	0.00197486	0.00600087	0.0283875	0.013146	0.0289146	0.0071799	0.0107418	0.00794982	0.00990717	0.0125539	0.00225409	0.00222015	0.0809886	0.00919039	0.018582	0.0257381	0.0924434	0.0128016	0.566206	0.433794	1.555031
